日付け,終値
2015.2.6,1417.19
2015.2.9,1424.92
2015.2.10,1427.72
2015.2.12,1449.39
2015.2.13,1449.38
2015.2.16,1459.43
2015.2.17,1462.07
2015.2.18,1482.67
2015.2.19,1494.93
2015.2.20,1500.33
2015.2.23,1502.83
2015.2.24,1508.28
2015.2.25,1507.62
2015.2.26,1521.68
2015.2.27,1523.85
2015.3.2,1524.97
2015.3.3,1526.83
2015.3.4,1517.01
2015.3.5,1523.72
2015.3.6,1540.84
2015.3.9,1531.76
2015.3.10,1524.75
2015.3.11,1525.67
2015.3.12,1546.63
2015.3.13,1560.33
2015.3.16,1558.21
2015.3.17,1570.50
2015.3.18,1582.46
2015.3.19,1575.81
2015.3.20,1580.51
2015.3.23,1592.25
2015.3.24,1587.59
2015.3.25,1592.01
2015.3.26,1568.82
2015.3.27,1552.78
2015.3.30,1557.77
2015.3.31,1543.11
2015.4.1,1528.99
2015.4.2,1554.17
2015.4.3,1564.16
2015.4.6,1560.71
2015.4.7,1578.55
2015.4.8,1588.47
2015.4.9,1594.19
2015.4.10,1589.54
2015.4.13,1586.26
2015.4.14,1590.82
2015.4.15,1588.81
2015.4.16,1599.42
2015.4.17,1588.69
2015.4.20,1582.68
2015.4.21,1608.88
2015.4.22,1621.79
2015.4.23,1624.87
2015.4.24,1618.84
2015.4.27,1619.07
2015.4.28,1627.43
2015.4.30,1592.79
2015.5.1,1585.61
2015.5.7,1574.64
2015.5.8,1587.76
2015.5.11,1598.33
2015.5.12,1602.27
2015.5.13,1604.21
2015.5.14,1591.49
2015.5.15,1607.11
2015.5.18,1626.66
2015.5.19,1633.33
2015.5.20,1643.40
2015.5.21,1646.80
2015.5.22,1647.85
2015.5.25,1659.15
2015.5.26,1659.57
2015.5.27,1661.33
2015.5.28,1672.76
2015.5.29,1673.65
2015.6.1,1678.56
2015.6.2,1674.21
2015.6.3,1669.99
2015.6.4,1673.89
2015.6.5,1667.06
2015.6.8,1661.99
2015.6.9,1634.37
2015.6.10,1628.23
2015.6.11,1648.88
2015.6.12,1651.48
2015.6.15,1651.92
2015.6.16,1639.86
2015.6.17,1633.70
2015.6.18,1616.66
2015.6.19,1631.01
2015.6.22,1648.61
2015.6.23,1676.40
2015.6.24,1679.89
2015.6.25,1670.91
2015.6.26,1667.03
2015.6.29,1624.82
2015.6.30,1630.40
2015.7.1,1636.41
2015.7.2,1648.24
2015.7.3,1652.09
2015.7.6,1620.36
2015.7.7,1637.23
2015.7.8,1582.48
2015.7.9,1579.89
2015.7.10,1583.55
2015.7.13,1613.51
2015.7.14,1638.71
2015.7.15,1646.41
2015.7.16,1660.83
2015.7.17,1662.94
2015.7.21,1673.88
2015.7.22,1655.37
2015.7.23,1664.88
2015.7.24,1655.86
2015.7.27,1637.90
2015.7.28,1629.46
2015.7.29,1633.94
2015.7.30,1647.21
2015.7.31,1659.52
2015.8.3,1659.60
2015.8.4,1659.83
2015.8.5,1665.85
2015.8.6,1673.58
2015.8.7,1679.19
2015.8.10,1691.29
2015.8.11,1687.60
2015.8.12,1665.75
2015.8.13,1667.95
2015.8.14,1664.46
2015.8.17,1672.87
2015.8.18,1672.22
2015.8.19,1648.48
2015.8.20,1623.88
2015.8.21,1573.01
2015.8.24,1480.87
2015.8.25,1432.65
2015.8.26,1478.97
2015.8.27,1500.41
2015.8.28,1549.80
2015.8.31,1537.05
2015.9.1,1478.11
2015.9.2,1465.99
2015.9.3,1474.98
2015.9.4,1444.53
2015.9.7,1445.65
2015.9.8,1416.71
2015.9.9,1507.37
2015.9.10,1479.52
2015.9.11,1480.23
2015.9.14,1462.41
2015.9.15,1462.24
2015.9.16,1472.60
2015.9.17,1491.91
2015.9.18,1462.38
2015.9.20,1546.85
2015.9.24,1426.97
2015.9.25,1453.81
2015.9.28,1438.67
2015.9.29,1375.52
2015.9.30,1411.16
2015.10.1,1442.74
2015.10.2,1444.92
2015.10.5,1463.92
2015.10.6,1475.84
2015.10.7,1493.17
2015.10.8,1481.40
2015.10.9,1515.13
2015.10.13,1503.13
2015.10.14,1470.83
