日付け,終値
2015.9.16,23040
2015.9.17,23140
2015.9.18,23800
2015.9.21,23000
2015.9.22,22900
2015.9.23,22620
2015.9.24,22520
2015.9.25,22240
2015.9.30,22680
2015.10.1,22680
2015.10.2,22380
2015.10.5,22300
2015.10.6,23020
2015.10.7,25020
2015.10.8,25400
2015.10.12,25200
2015.10.13,25040
2015.10.14,25080
2015.10.15,25380
2015.10.16,25300
2015.10.19,25120
2015.10.20,25320
2015.10.21,25400
2015.10.22,25600
2015.10.23,25780
2015.10.26,25840
2015.10.27,25960
2015.10.28,26160
2015.10.29,26500
2015.10.30,27440
2015.11.2,27660
2015.11.3,27040
2015.11.4,26600
2015.11.5,26840
2015.11.6,26760
2015.11.9,26880
2015.11.10,26420
2015.11.11,26660
2015.11.12,26340
2015.11.13,26000
2015.11.16,25260
2015.11.17,25400
2015.11.18,25620
2015.11.19,25780
2015.11.20,25700
2015.11.23,25640
2015.11.24,25980
2015.11.25,25980
2015.11.26,26700
2015.11.27,26540
2015.11.30,25680
2015.12.1,26420
2015.12.2,26000
2015.12.3,25800
2015.12.4,25380
2015.12.7,25240
2015.12.8,25240
2015.12.9,25260
2015.12.10,25660
2015.12.11,25680
2015.12.14,25220
2015.12.15,25540
2015.12.16,25980
2015.12.17,25800
2015.12.18,25560
2015.12.21,25600
2015.12.22,25840
2015.12.23,25900
2015.12.24,25700
2015.12.28,25320
2015.12.29,25080
2015.12.30,25200
2016.1.4,24100
2016.1.5,24160
2016.1.6,23500
2016.1.7,23260
2016.1.8,23420
2016.1.11,23040
2016.1.12,22920
2016.1.13,22960
2016.1.14,22760
2016.1.15,22640
2016.1.18,22520
2016.1.19,23420
2016.1.20,22760
2016.1.21,22620
2016.1.22,23360
2016.1.25,23240
2016.1.26,22740
2016.1.27,23500
2016.1.28,22900
2016.1.29,23000
2016.2.1,23260
2016.2.2,23120
2016.2.3,22920
2016.2.4,23120
2016.2.5,23280
2016.2.11,22600
2016.2.12,22600
2016.2.15,23080
2016.2.16,23360
2016.2.17,23700
2016.2.18,23740
2016.2.19,23800
2016.2.22,23500
2016.2.23,23620
2016.2.24,23440
2016.2.25,23580
2016.2.26,23440
2016.2.29,23560
2016.3.2,23940
2016.3.3,24400
2016.3.4,24300
2016.3.7,24460
2016.3.8,23840
2016.3.9,23880
2016.3.10,24500
2016.3.11,24980
2016.3.14,25100
2016.3.15,25060
2016.3.16,25120
2016.3.17,25260
2016.3.18,25460
2016.3.21,25340
2016.3.22,25380
2016.3.23,25580
2016.3.24,25640
2016.3.25,25760
2016.3.28,25880
2016.3.29,25800
2016.3.30,26160
2016.3.31,26240
2016.4.1,25580
2016.4.4,26100
2016.4.5,25200
2016.4.6,25700
2016.4.7,25380
2016.4.8,24920
2016.4.11,25320
2016.4.12,25500
2016.4.14,26000
2016.4.15,26000
2016.4.18,25980
2016.4.19,25760
2016.4.20,25980
2016.4.21,25880
2016.4.22,25600
2016.4.25,25620
2016.4.26,25920
2016.4.27,26000
2016.4.28,25300
2016.4.29,24900
2016.5.2,25000
2016.5.3,25220
2016.5.4,25800
2016.5.9,25980
2016.5.10,25920
2016.5.11,25840
2016.5.12,25620
2016.5.13,25060
2016.5.16,24960
2016.5.17,25280
2016.5.18,25360
2016.5.19,25400
2016.5.20,25380
2016.5.23,25720
2016.5.24,25420
2016.5.25,25900
2016.5.26,25920
2016.5.27,25640
2016.5.30,25600
2016.5.31,25840
2016.6.1,26660
2016.6.2,27300
2016.6.3,27540
2016.6.7,27960
2016.6.8,28120
2016.6.9,28600
2016.6.10,28120
2016.6.13,27420
2016.6.14,27600
2016.6.15,28260
2016.6.16,28180
2016.6.17,28520
2016.6.20,28620
2016.6.21,28960
2016.6.22,28900
2016.6.23,28600
2016.6.24,28000
2016.6.27,27960
2016.6.28,27980
2016.6.29,27920
2016.6.30,28500
2016.7.1,29320
2016.7.4,29320
2016.7.5,29380
2016.7.6,28420
2016.7.7,29000
2016.7.8,29200
2016.7.11,29780
2016.7.12,29280
2016.7.13,29620
2016.7.14,30000
2016.7.15,30360
2016.7.18,30660
2016.7.19,30660
2016.7.20,30800
2016.7.21,30860
2016.7.22,30320
2016.7.25,30040
2016.7.26,30600
2016.7.27,30540
2016.7.28,30140
2016.7.29,30780
2016.8.1,31360
2016.8.2,30960
2016.8.3,30340
2016.8.4,30340
2016.8.5,31220
2016.8.8,31380
2016.8.9,31340
2016.8.10,30820
2016.8.11,31180
2016.8.12,30900
2016.8.16,31360
2016.8.17,31320
2016.8.18,32800
2016.8.19,33500
2016.8.22,33300
2016.8.23,33740
2016.8.24,33060
2016.8.25,32780
2016.8.26,32240
2016.8.29,32800
2016.8.30,32900
2016.8.31,32400
2016.9.1,31740
2016.9.2,31940
2016.9.5,32120
